DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Merged All Reads Multi-count
COLOR,#662E9B
MARGIN,0
BORDER_WIDTH,1
BORDER_COLOR,#000000
SHOW_VALUES,1
DATA
Bru,460
HXB2,1330
KU678025,1
KU678049,0
KU678125,0
KX505396,4
KX505419,0
KX505446,5
KX505475,0
KX505504,0
KX505536,2
KX505552,0
KX505739,0
KY658693,3
KY778289,1
MG171202,1
MH897920,0
MK114636,995
MK114800,0
MK114990,1
MK115138,0
MK115343,0
MK115381,1
MK115482,0
MK115694,1
MK169418,2
MK169493,0
MK169545,7
MK169677,0
MK169834,0
MK383411,0
MK383431,2
MK383471,2
MK499378,5
MN466965,1
MN467271,1
MN467328,1
MN467386,1
MN691961,7
MN692189,2
MT744335,14
MT744344,3
MT745568,1
MW062426,1
MW062600,4
MW062703,1
MW062848,4
MW062887,0
MW062926,0
MW062962,3
MW063100,9
MW262767,1
MW262776,1
MW309891,3
MW753234,0
MW753604,6
MW753667,6
MW754071,4
MW754142,5
MW754304,3
MW754632,9
MW881680,7
MW881686,2
MW881697,1
MW881708,11
MZ662564,3
MZ662667,4
MZ662740,5
MZ922480,1
MZ922517,2
MZ922520,2
MZ922531,2
MZ922537,0
MZ922538,4
NL4-3,163
NY5,15
OL519774,0
OM203601,1009
OM203681,1
OM203788,1
OM203923,6
OM204400,0
OM204675,0
OM204917,0
OM205158,3
OM205931,1
OM206027,7
OM206160,0
OM206252,4
OM206259,11
OM206307,1
OM206874,0
OM207113,4
OM207163,2
OM207243,1
OM207300,1
OM207345,10
OM207506,0
OM207542,1
OM207793,0
OM208257,5
OM208308,10
OM208834,2
OM209244,1
OM209428,1
OM209706,2
ON015228,8
ON816029,2
ON816155,7
ON816258,18
ON816363,3
ON816453,3
ON816529,4
ON816670,1000
ON816965,4
OP700921,1
OP700950,8
OP701010,14
OP701069,4
OQ092462,0
OQ092463,31
OQ092466,9
OQ092467,35
OQ751393,1
OQ751654,1
OQ752137,5
OQ752739,1
OQ753058,1
OQ948538,4
OQ948629,1
OQ948655,0
OR466101,0
OR496826,40
OR660705,1
OR660960,3
OR661155,0
OR736818,0
OR736920,0
OR736930,7
OR736960,0
OR737029,1
OR737054,2
OR737141,5
OR737183,0
OR737246,5
OR737381,0
OR737392,2
PQ511571,4
YU-2,23
K03454,0
