Read_Name,Read_Sequence,Sample_ID,Pool_ID,Site,City,Date,Mapping_Type,Non-Circulating_Best_Strain,Non-Circulating_Percent_Identity,Circulating_Best_Strain,Circulating_Percent_Identity,C/N_Ratio
SYN_330_8252_8401_361_+_16252_1_.__0327 ,,,,,,,both,NY5,95.04132231,MK114636,100,1.052173913
SYN_318_9146_9295_362_-_17146_1_._HXB2$Huma_0815 ,,,,,,,both,HXB2,100,OQ092463,96,0.96
SYN_204_3174_3323_393_+_11174_1_.__0202 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_237_1016_1165_334_+_9016_1_._0237 ,,,,,,,both,NY5,97.72727273,ON816670,100,1.023255814
SYN_200_2443_2592_318_-_10443_1_.__0198 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_272_3984_4133_379_-_11984_1_._HXB2$Huma_0270 ,,,,,,,both,HXB2,100,KX505739,99.33333333,0.993333333
SYN_389_7969_8118_422_-_15969_1_._HXB2$Huma_0886 ,,,,,,,both,HXB2,100,PQ511571,96.66666667,0.966666667
SYN_480_2415_2564_430_-_10415_1_.__0478 ,,,,,,,both,Bru,96.66666667,OM203601,99.33333333,1.027586207
SYN_331_8406_8555_421_+_16406_1_.__0827 ,,,,,,,both,NL4-3,95.33333333,MK114636,100,1.048951049
SYN_349_2264_2413_391_-_10264_1_.__0847 ,,,,,,,both,Bru,98,OM203601,100,1.020408163
SYN_131_3916_4065_333_+_11916_1_.__0131 ,,,,,,,both,Bru,98.66666667,ON816670,100,1.013513514
SYN_393_1254_1403_467_+_9254_1_._0891 ,,,,,,,both,Bru,91.33333333,OM203601,100,1.094890511
SYN_54_1028_1177_358_+_9028_1__0550 ,,,,,,,both,YU-2,97.33333333,MK114636,100,1.02739726
SYN_29_83_232_395_-_8083_1_0525 ,,,,,,,both,HXB2,94.66666667,MK114636,100,1.056338028
SYN_36_3981_4130_416_-_11981_1_._0532 ,,,,,,,both,HXB2,96,MK114636,99.33333333,1.034722222
SYN_254_7387_7536_395_-_15387_1_.__0750 ,,,,,,,both,NY5,82.66666667,ON816670,100,1.209677419
SYN_238_3650_3799_346_+_11650_1_._HXB2$Huma_0237 ,,,,,,,both,HXB2,99.33333333,MW753604,97.33333333,0.979865772
SYN_63_906_1055_436_-_8906__0561 ,,,,,,,both,Bru,96,OM203601,100,1.041666667
SYN_295_3157_3306_343_+_11157_1_.__0293 ,,,,,,,both,NL4-3,96,OM203601,100,1.041666667
SYN_269_7774_7923_332_-_15774_1_._HXB2$Huma_0766 ,,,,,,,both,HXB2,100,MK383471,98,0.98
SYN_83_5531_5680_416_+_13531_1_._0083 ,,,,,,,both,Bru,91.33333333,MK114636,100,1.094890511
SYN_482_6341_6490_390_-_14341_1_.__0978 ,,,,,,,both,YU-2,91.33333333,ON816670,100,1.094890511
SYN_239_1480_1629_417_-_9480_1_._Vector_pLVX.TRE_0738 ,,,,,,,both,Bru,100,OQ092463,97.33333333,0.973333333
SYN_499_914_1063_367_+_8914_1_._0497 ,,,,,,,both,YU-2,86,OM203601,100,1.162790698
SYN_63_906_1055_436_-_8906__0063 ,,,,,,,both,NL4-3,98,OM203601,100,1.020408163
SYN_27_7795_7944_453_-_15795_1_._0027 ,,,,,,,both,Bru,91.33333333,ON816670,100,1.094890511
SYN_130_4700_4849_353_+_12700_1_.__0129 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_377_5187_5336_362_-_13187_1_.__0375 ,,,,,,,both,YU-2,93.33333333,OM203601,100,1.071428571
SYN_14_3638_3787_410_-_11638_1_._HXB2$Hum_0511 ,,,,,,,both,HXB2,100,MW262776,98.66666667,0.986666667
SYN_193_9422_9571_369_-_17422_1_._HXB2$Huma_0192 ,,,,,,,both,HXB2,100,OQ092463,94.66666667,0.946666667
SYN_10_7168_7317_413_+_15168_1_._0011 ,,,,,,,both,NY5,88,MK114636,100,1.136363636
SYN_148_2280_2429_356_-_10280_1_.__0147 ,,,,,,,both,Bru,94.66666667,MK114636,99.33333333,1.049295775
SYN_112_9313_9462_427_-_17313_1_._HXB2$Huma_0111 ,,,,,,,both,HXB2,100,MK115343,96.66666667,0.966666667
SYN_395_3008_3157_406_+_11008_1_._HXB2$Huma_0892 ,,,,,,,both,Bru,100,ON015228,100,1
SYN_402_8617_8766_370_-_16617_1_.__0399 ,,,,,,,both,NL4-3,94.66666667,ON816670,100,1.056338028
SYN_136_3849_3998_430_-_11849_1_.__0634 ,,,,,,,both,NL4-3,92.66666667,OM203601,100,1.079136691
SYN_425_1802_1951_435_+_9802_1_._HXB2$Huma_0422 ,,,,,,,both,HXB2,99.33333333,MW881708,96.66666667,0.973154362
SYN_133_711_860_402_+_8711_1_._Vector_pLVX.TR_0134 ,,,,,,,both,Bru,99.33333333,OM205931,96.66666667,0.973154362
SYN_244_1725_1874_412_+_9725_1_._HXB2$Hum_0741 ,,,,,,,both,HXB2,100,MZ922531,97.33333333,0.973333333
SYN_39_4773_4922_362_+_12773_1_._HXB2$Hum_0536 ,,,,,,,both,HXB2,100,MN691961,99.33333333,0.993333333
SYN_355_5254_5403_351_-_13254_1_.__0851 ,,,,,,,both,HXB2,93.33333333,ON816670,100,1.071428571
SYN_96_2560_2709_334_-_10560_1_._0594 ,,,,,,,both,Bru,96,OM203601,99.33333333,1.034722222
SYN_209_482_631_351_-_8482_1_._Vector_pLVX.T_0708 ,,,,,,,both,Bru,100,OQ092467,100,1
SYN_265_695_844_388_-_8695_1_0263 ,,,,,,,both,NY5,92,OM203601,100,1.086956522
SYN_133_711_860_402_+_8711_1_._Vector_pLVX.TR_0632 ,,,,,,,both,HXB2,98.64864865,OQ092466,95.94594595,0.97260274
SYN_313_6263_6412_326_-_14263_1_._HXB2$Huma_0810 ,,,,,,,both,HXB2,100,KX505396,96,0.96
SYN_243_752_901_383_-_8752_1_._Vector_pLVX.T_0242 ,,,,,,,both,Bru,100,OR496826,99.33333333,0.993333333
SYN_459_8641_8790_351_-_16641_1_.__0957 ,,,,,,,both,HXB2,57.26495726,OM203601,100,1.746268657
SYN_155_8662_8811_371_-_16662_1_.__0153 ,,,,,,,both,HXB2,100,MK114636,100,1
SYN_314_7685_7834_374_-_15685_1_.__0812 ,,,,,,,both,NY5,89.33333333,OM203601,100,1.119402985
SYN_60_3066_3215_378_+_11066_1_._0556 ,,,,,,,both,YU-2,94,ON816670,100,1.063829787
SYN_159_8131_8280_361_+_16131_1_._HXB2$Huma_0656 ,,,,,,,both,HXB2,100,MZ922517,96.66666667,0.966666667
SYN_99_3733_3882_387_+_11733_1_._0099 ,,,,,,,both,HXB2,97.33333333,OM203601,100,1.02739726
SYN_296_327_476_310_+_8327_1_0792 ,,,,,,,both,NL4-3,94,MK114636,100,1.063829787
SYN_94_673_822_368_+_8673_1_._HXB2$H_0094 ,,,,,,,both,Bru,100,MZ662740,98,0.98
SYN_441_7250_7399_395_-_15250_1_.__0939 ,,,,,,,both,NY5,92.66666667,OM203601,100,1.079136691
SYN_270_5467_5616_424_+_13467_1_._Vector_pLVX.TRE3_0769 ,,,,,,,both,HXB2,99.33333333,OQ948538,96,0.966442953
SYN_0_6584_6733_377_-_14584_1__0496 ,,,,,,,both,Bru,92.30769231,MK114636,100,1.083333333
SYN_420_841_990_316_+_8841_1_._Vector_pLVX.TRE_0919 ,,,,,,,both,Bru,100,MT744335,98.66666667,0.986666667
SYN_206_8477_8626_387_-_16477_1_.__0702 ,,,,,,,both,Bru,93.33333333,ON816670,99.33333333,1.064285714
SYN_195_5270_5419_389_-_13270_1_.__0193 ,,,,,,,both,NY5,87.33333333,MK114636,100,1.145038168
SYN_36_917_1066_416_-_8917_1_._Vector_pLVX._0037 ,,,,,,,both,Bru,99.33333333,MG171202,98,0.986577181
SYN_218_2505_2654_313_+_10505_1_.__0716 ,,,,,,,both,YU-2,96.66666667,OM203601,100,1.034482759
SYN_432_6564_6713_423_-_14564_1_.__0928 ,,,,,,,both,Bru,96.19047619,ON816670,100,1.03960396
