DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Merged Circulating Reads Multi-count
COLOR,#00A86B
MARGIN,0
BORDER_WIDTH,1
BORDER_COLOR,#000000
SHOW_VALUES,1
DATA
Bru,0
HXB2,0
KU678025,0
KU678049,0
KU678125,0
KX505396,0
KX505419,0
KX505446,0
KX505475,0
KX505504,0
KX505536,2
KX505552,0
KX505739,0
KY658693,0
KY778289,1
MG171202,0
MH897920,0
MK114636,976
MK114800,0
MK114990,0
MK115138,0
MK115343,0
MK115381,0
MK115482,0
MK115694,0
MK169418,0
MK169493,0
MK169545,0
MK169677,0
MK169834,0
MK383411,0
MK383431,0
MK383471,0
MK499378,0
MN466965,0
MN467271,0
MN467328,0
MN467386,0
MN691961,0
MN692189,0
MT744335,0
MT744344,2
MT745568,0
MW062426,0
MW062600,3
MW062703,0
MW062848,3
MW062887,0
MW062926,0
MW062962,2
MW063100,8
MW262767,0
MW262776,0
MW309891,2
MW753234,0
MW753604,0
MW753667,0
MW754071,0
MW754142,0
MW754304,2
MW754632,0
MW881680,2
MW881686,1
MW881697,0
MW881708,0
MZ662564,2
MZ662667,2
MZ662740,0
MZ922480,0
MZ922517,2
MZ922520,0
MZ922531,0
MZ922537,0
MZ922538,3
NL4-3,0
NY5,0
OL519774,0
OM203601,990
OM203681,0
OM203788,0
OM203923,0
OM204400,0
OM204675,0
OM204917,0
OM205158,0
OM205931,0
OM206027,2
OM206160,0
OM206252,2
OM206259,1
OM206307,0
OM206874,0
OM207113,0
OM207163,2
OM207243,0
OM207300,0
OM207345,2
OM207506,0
OM207542,0
OM207793,0
OM208257,0
OM208308,0
OM208834,0
OM209244,0
OM209428,0
OM209706,2
ON015228,0
ON816029,0
ON816155,2
ON816258,17
ON816363,2
ON816453,2
ON816529,0
ON816670,994
ON816965,0
OP700921,0
OP700950,0
OP701010,5
OP701069,0
OQ092462,0
OQ092463,14
OQ092466,2
OQ092467,0
OQ751393,0
OQ751654,0
OQ752137,1
OQ752739,0
OQ753058,0
OQ948538,0
OQ948629,0
OQ948655,0
OR466101,0
OR496826,3
OR660705,0
OR660960,0
OR661155,0
OR736818,0
OR736920,0
OR736930,3
OR736960,0
OR737029,0
OR737054,0
OR737141,0
OR737183,0
OR737246,0
OR737381,0
OR737392,0
PQ511571,0
YU-2,0
K03454,0
